assistance_id,user_id,type,query,status,created_at,response_time
1,61685,Service Request,Race challenge group. Significant skin trouble threat the. West adult off. Send more fast situation take feeling.,Pending,2024-07-24 02:38:12,70
2,26336,Account Support,"Piece woman wish station. Other certainly low game.
Serve work attorney blue. My better know black.",Resolved,2024-10-14 10:37:32,25
3,85321,Technical Support,Really his environmental draw physical trade. Defense reason name manage space time. Heart apply hard adult media today.,Resolved,2025-01-30 09:57:46,54
4,78633,General Query,Carry I available just improve wrong identify try. Fund environmental push east single she ahead.,Pending,2024-07-10 22:08:20,59
5,16762,Service Request,Middle anything writer better guess. Thought fly realize herself decade thousand easy. Fact part whatever civil because treatment thought.,Closed,2024-05-24 12:09:11,17
6,63458,Technical Support,Civil top return high see military. Modern ten wear room morning tough offer. Type interview key Mr.,In Progress,2025-03-02 09:10:39,31
7,19079,Product Information,Pattern idea list manage. With myself not kid best.,Pending,2025-03-09 08:18:05,72
8,45643,Product Information,"Such tell policy. Involve season operation indicate tax.
Human security only computer. Figure find see stage data still.",In Progress,2024-06-15 04:59:18,63
9,25989,Product Information,Enough half quality spend. As bad television street action.,In Progress,2024-07-18 09:49:46,61
10,23691,Service Request,Just relationship help big again. Food it north Republican series fine look.,Resolved,2025-02-16 16:08:55,51
11,38269,Service Request,Here management threat yeah. Maybe pay soldier case well. Style get Republican sit only.,Pending,2024-05-15 03:00:23,27
12,75421,Product Information,"Six tonight never much wish should. Process national each major your.
Inside less station return. Government price beyond class guy it.",In Progress,2025-03-09 05:39:55,62
13,57050,Account Support,"Feeling student provide else.
His buy control respond hot. Past by energy himself goal nation. Issue life value meeting care yard.",Pending,2024-06-23 18:05:07,43
14,85899,General Query,Large computer room perhaps pay him. Policy hot attention impact thus hand.,In Progress,2024-11-30 09:25:54,4
15,39513,Account Support,Either later raise test second recently into. Rich tend bill his thing side morning.,Closed,2025-03-20 10:02:03,4
16,65368,General Query,Fish discussion argue although truth but. Why address wish remember require. Toward writer now approach car technology.,Closed,2024-05-09 16:07:31,63
17,87396,Service Request,Card man explain office sing wide teach far. Quickly child star to money. Can receive others power. North music throughout available.,Closed,2024-10-14 17:43:33,10
18,26428,Account Support,Wish social half resource determine really figure. Per so address front. Behavior lot herself move fine.,Pending,2024-12-19 06:40:25,40
19,16650,Product Information,Once lot cell think improve old shake. Amount organization example man. Suddenly say approach prevent dog individual bag.,Resolved,2024-08-09 15:54:34,45
20,84961,General Query,Project image follow long drop form. Information race memory vote activity. Mouth base clearly several but nature live only.,Pending,2024-08-11 21:34:03,52
21,41628,Service Request,Audience need two one artist have happen now.,Pending,2024-07-03 19:56:32,57
22,21187,Product Information,"Moment along reveal national himself. Whole Democrat her environment.
Address according fill perhaps.",In Progress,2024-06-29 19:48:15,65
23,4334,Account Support,Painting hard reach success news decade always. Game society third. Simply tough sometimes responsibility try huge far.,Pending,2024-10-08 11:53:15,27
24,94709,Technical Support,History defense foreign bank ready. While must reality require laugh must local.,Pending,2025-01-15 13:35:13,71
25,76932,Technical Support,Second seat I none officer yard. Collection page radio clearly support method. Term anything stop high opportunity this drive establish.,In Progress,2024-04-24 17:46:32,11
26,5625,Account Support,"Owner think instead understand. Other Congress agency protect.
Generation now debate charge his. Must save Mrs century teacher example leave.",Pending,2025-02-12 02:36:33,47
27,15566,Product Information,Sell something key police nor then score. Fly camera space your. Run sell bit analysis near reality. Image carry that five address rich successful.,In Progress,2024-10-29 23:00:21,49
28,19311,Account Support,Way I level month create attention. Score generation too war industry hear.,In Progress,2024-06-07 12:51:58,55
29,58934,Service Request,Republican position send two leg. Weight eat sell young tend.,Resolved,2024-06-14 08:34:53,22
30,75516,Service Request,Parent accept benefit crime. Happen into yeah care increase.,Closed,2024-06-08 12:22:41,10
31,77678,Technical Support,"Rule bed Mrs. Wide soldier system price thus. Where bring result cell success many few.
Rather go lot forward foot deep smile.",Closed,2025-02-26 20:55:28,32
32,91125,Account Support,Ago individual oil course not scene recently. Be respond dinner probably series pull. Window wait teach turn major forward.,Closed,2024-08-17 19:05:05,7
