loan_id,user_id,loan_type,amount,interest_rate,term_months,status,application_date
1,45218,Auto,4158201.54,13.8,180,approved,2023-10-02 11:17:21
2,27036,Education,8515755.5,12.99,60,closed,2024-04-11 20:54:30
3,80139,Business,1332860.77,7.87,240,rejected,2024-08-12 16:10:15
4,41068,Personal,6415354.58,9.54,240,closed,2024-08-26 12:04:34
5,71485,Home,996601.7,10.35,240,approved,2023-10-11 02:53:57
6,68786,Education,3542167.29,13.79,120,approved,2024-04-17 17:18:49
7,29758,Home,2004360.07,13.42,24,closed,2023-04-09 01:35:02
8,75539,Home,7788416.01,14.14,180,closed,2024-02-19 11:23:21
9,82955,Education,2366127.7,13.99,12,rejected,2023-05-05 09:17:37
10,50127,Personal,4814942.64,7.53,120,rejected,2025-03-19 14:23:29
11,41531,Personal,4725048.94,8.17,240,rejected,2023-06-14 04:51:20
12,615,Auto,873376.73,12.75,60,rejected,2023-12-09 23:02:26
13,89117,Education,7718054.69,14.56,240,closed,2025-02-10 21:41:29
14,43417,Auto,2712509.78,8.7,12,rejected,2023-08-10 09:54:39
15,71337,Auto,4239599.62,7.35,180,pending,2023-04-17 08:20:48
16,94988,Home,3680880.58,9.89,180,rejected,2024-09-01 04:49:34
17,3141,Home,9953350.41,14.17,180,rejected,2024-09-13 10:45:57
18,81177,Business,537656.89,8.21,24,pending,2024-11-24 16:17:53
19,51309,Business,5124000.46,9.09,240,approved,2023-08-26 11:08:19
20,40270,Home,2618416.76,14.22,12,approved,2024-10-11 21:02:20
21,89147,Personal,4771891.45,13.55,12,approved,2023-06-24 03:15:08
22,96386,Education,7951257.33,14.71,180,pending,2024-09-18 16:38:22
23,70251,Auto,8401113.26,9.45,120,approved,2024-01-03 09:28:21
24,25441,Home,2948432.55,9.45,24,approved,2023-11-19 12:16:11
25,12005,Personal,9723899.86,14.75,24,pending,2023-11-12 17:42:15
26,61115,Auto,207436.7,14.3,12,approved,2025-03-20 06:50:05
27,61195,Home,1650562.51,9.82,36,pending,2023-11-17 19:58:52
28,56920,Auto,7260528.69,10.3,180,rejected,2024-08-07 18:27:45
29,76257,Auto,4757555.97,10.05,180,pending,2023-05-06 19:31:43
30,76096,Education,9896555.72,14.16,180,approved,2024-08-21 23:56:08
31,21791,Business,9800835.05,12.17,120,pending,2023-06-06 23:12:55
32,81297,Education,2032634.67,7.75,240,rejected,2024-09-10 18:39:56
33,61749,Business,7191639.78,12.67,240,approved,2024-03-03 15:58:53
34,29082,Home,1250172.26,7.21,60,approved,2024-07-01 03:13:01
35,8919,Home,8598350.64,7.71,180,rejected,2023-08-01 14:31:02
36,46231,Home,9485531.64,9.93,240,pending,2024-01-04 05:41:56
37,86874,Personal,5167408.51,9.83,36,approved,2024-09-05 13:31:23
38,86616,Business,8398884.81,10.68,36,rejected,2023-10-17 18:10:40
39,62079,Auto,7149497.2,9.46,240,pending,2023-12-07 07:09:02
40,77305,Home,5156622.35,11.23,60,rejected,2024-07-13 05:53:05
41,74933,Education,7970511.04,9.66,48,pending,2023-11-27 23:04:08
42,3707,Education,3623046.79,10.35,12,closed,2024-03-25 17:45:09
43,97138,Business,7349472.69,10.69,120,pending,2024-02-12 20:16:38
44,13534,Auto,1544402.44,8.3,48,pending,2025-02-05 09:19:39
45,48159,Home,7978037.41,9.86,36,approved,2023-08-24 06:05:59
46,7990,Auto,3534408.92,14.85,24,approved,2024-02-16 23:14:22
47,31090,Auto,808088.25,7.34,120,approved,2023-08-26 14:55:56
48,50490,Personal,6033748.56,8.01,36,rejected,2023-11-25 16:29:59
49,66787,Personal,8067734.33,9.99,60,closed,2024-11-23 03:15:13
50,16819,Personal,4431516.37,7.61,240,pending,2024-05-17 13:19:39
51,55384,Personal,3352618.81,8.89,48,rejected,2024-08-12 22:35:41
52,15406,Education,8486245.42,8.57,24,rejected,2024-01-25 17:02:21
53,73430,Home,9949923.02,14.63,24,closed,2024-01-16 09:02:25
54,94821,Personal,3709914.96,8.43,60,approved,2024-07-02 01:48:28
55,68191,Personal,514849.27,9.59,240,rejected,2023-08-31 10:46:10
56,43084,Home,9085600.37,12.37,180,approved,2023-04-10 23:01:34
57,68782,Home,296760.53,8.9,48,rejected,2024-08-11 05:36:28
58,86819,Auto,4318006.51,13.64,36,pending,2023-12-06 07:08:31
59,55150,Business,3991140.87,11.32,120,approved,2023-05-10 23:20:15
60,49278,Home,6077727.43,10.28,120,approved,2023-05-13 21:02:35
61,97151,Education,4962945.1,9.75,240,pending,2023-06-16 07:27:46
62,11533,Home,7028945.73,7.14,48,closed,2024-12-10 17:58:05
63,11437,Home,2082552.38,8.17,36,approved,2023-09-10 02:04:54
64,34136,Education,3656207.46,13.9,48,closed,2023-12-11 10:32:47
65,85624,Business,8709769.8,8.22,120,closed,2024-04-19 09:52:52
66,47042,Business,2956433.08,13.48,60,rejected,2024-06-10 08:11:48
67,84766,Education,5412628.09,7.42,12,closed,2025-01-10 09:46:18
68,74441,Auto,5389743.58,8.98,240,approved,2024-09-15 21:17:08
69,11781,Personal,1276931.86,10.13,48,closed,2023-06-28 14:56:05
70,23009,Personal,9953623.15,8.81,24,pending,2024-05-24 12:32:42
71,82356,Home,9927594.75,10.03,240,closed,2024-01-13 22:14:33
