loan_id,user_id,loan_type,amount,interest_rate,term_months,status,application_date
1,28025,Home,588615.57,7.24,12,rejected,2023-09-25 06:15:34
2,71988,Education,1131181.62,12.65,24,approved,2023-12-27 20:17:42
3,76296,Home,7848236.95,11.43,240,rejected,2024-01-20 05:40:31
4,14473,Auto,2811150.43,13.17,60,closed,2024-02-02 10:56:17
5,13537,Auto,8399108.11,13.07,36,pending,2024-01-21 19:26:20
6,59608,Business,751647.97,10.13,120,pending,2023-03-31 21:16:04
7,89218,Personal,8623428.2,7.82,48,pending,2023-07-23 00:59:43
8,95958,Home,3288018.53,9.4,12,rejected,2023-10-12 12:16:15
9,32269,Home,482626.63,9.69,48,closed,2024-09-13 06:28:03
10,37544,Education,7728610.58,9.94,12,rejected,2024-04-27 12:40:58
11,58684,Auto,2895984.53,14.87,48,pending,2023-05-06 05:08:34
12,8268,Business,8510069.38,12.75,120,rejected,2023-09-12 12:29:57
13,15871,Personal,890529.93,12.01,48,rejected,2024-10-17 00:33:18
14,76545,Education,9607831.59,12.15,180,approved,2024-04-26 17:24:01
15,12337,Home,1877455.01,11.14,240,pending,2023-09-26 19:19:42
16,72197,Business,3026115.47,9.92,36,pending,2023-07-13 22:39:14
17,19911,Business,3498267.66,9.58,180,rejected,2024-05-24 01:56:31
18,25411,Education,2988612.58,8.06,240,pending,2023-09-08 02:35:51
19,60182,Auto,2407700.73,9.59,48,approved,2023-04-18 04:46:40
20,63212,Auto,9298178.64,12.59,48,closed,2024-08-08 05:00:01
21,48990,Business,1971132.2,13.21,120,closed,2023-12-09 11:25:37
22,92652,Auto,8396204.17,10.81,48,closed,2023-12-14 07:31:44
23,41772,Auto,3371020.75,10.77,12,pending,2023-06-30 19:12:11
24,80469,Business,9256657.86,9.04,240,pending,2024-07-04 00:32:11
25,54055,Home,6643278.68,8.78,180,closed,2025-01-19 02:41:23
26,31854,Education,2512923.15,10.13,48,pending,2023-04-27 11:31:31
27,31827,Education,5104250.38,14.28,60,closed,2024-09-30 07:33:50
28,9865,Education,3721839.91,13.04,48,rejected,2023-09-18 02:49:58
29,25303,Auto,1571924.17,8.31,48,closed,2025-01-24 09:05:50
30,7111,Home,9374772.57,9.7,180,rejected,2023-07-04 19:26:35
31,1329,Education,5859028.66,8.92,60,closed,2025-03-25 15:29:01
32,51646,Business,5254926.98,9.81,180,pending,2024-01-04 09:58:07
33,57953,Personal,2449460.3,11.49,12,closed,2024-11-20 04:38:14
34,75834,Business,5951352.25,9.82,60,rejected,2024-08-09 14:10:50
35,60496,Business,7528992.98,7.22,12,approved,2024-11-27 09:36:19
36,57107,Home,4284199.11,12.81,12,rejected,2024-12-18 17:58:36
37,90250,Auto,5815603.94,7.46,36,approved,2024-04-21 05:24:40
38,58329,Business,4409658.28,11.57,180,approved,2023-04-25 13:00:54
39,52422,Home,8483043.34,14.33,24,pending,2024-03-26 19:49:04
40,19129,Education,3428291.49,12.81,36,closed,2024-05-12 12:20:35
41,23456,Education,2018014.35,12.86,60,approved,2025-02-03 20:45:49
42,10083,Education,5356044.28,9.93,48,rejected,2024-03-21 22:58:57
43,39682,Personal,1677481.37,12.13,48,rejected,2025-01-19 21:53:05
44,44513,Personal,9284242.74,8.66,48,rejected,2024-01-25 10:28:55
45,97505,Business,2588715.76,11.76,48,closed,2023-10-02 15:04:49
46,85393,Personal,3321549.47,8.39,12,rejected,2024-05-13 07:20:01
47,23861,Business,7202282.68,11.85,60,approved,2024-02-09 14:29:45
48,31612,Personal,6777912.14,9.63,24,pending,2023-07-22 17:03:24
49,9415,Home,8281253.13,9.75,24,approved,2025-03-13 23:29:25
50,96145,Business,6633940.55,12.2,24,approved,2023-07-10 13:36:54
51,80250,Education,6909700.94,9.28,120,pending,2023-06-15 11:14:35
52,82975,Home,4541860.86,12.08,180,pending,2024-01-21 03:21:39
53,68801,Personal,5593753.59,9.59,240,closed,2023-07-08 05:40:14
54,85583,Education,5423080.33,14.74,12,closed,2024-07-30 16:05:06
55,60464,Personal,9817291.16,8.17,60,rejected,2024-01-17 03:03:15
56,62420,Home,7557563.38,9.99,48,rejected,2024-04-19 18:55:33
57,28668,Business,7895607.85,8.18,12,closed,2024-06-30 16:58:55
58,24099,Business,4697314.3,9.85,60,pending,2024-10-05 21:51:06
59,56757,Home,7045426.59,7.37,120,approved,2024-10-29 15:35:59
