transaction_id,user_id,type,amount,timestamp,status,description,processed_description
1,50143,withdrawal,2755.32,2024-06-24 13:10:35,failed,Table trip left official tonight billion arm.,table trip left official tonight billion arm
2,96640,withdrawal,32323.75,2024-11-10 09:54:38,pending,Have affect suggest western capital reveal.,affect suggest western capital reveal
3,6473,deposit,61895.8,2024-04-14 23:39:36,failed,Long voice trip make shake computer.,long voice trip make shake computer
4,33174,payment,73406.9,2024-12-12 05:41:15,failed,Child career around voice entire staff child.,child career around voice entire staff child
5,52704,transfer,53278.15,2024-08-08 04:06:49,failed,Coach side career economic front free.,coach side career economic front free
6,86235,deposit,22903.74,2024-04-14 22:09:12,completed,Town smile often join that management.,town smile often join management
7,70078,deposit,15793.21,2024-12-17 20:57:47,failed,Budget civil their thousand specific.,budget civil thousand specific
8,59235,payment,45378.1,2025-02-21 12:31:20,failed,Such over read community manage daughter.,read community manage daughter
9,82229,withdrawal,96265.61,2024-08-22 19:41:03,failed,Stay say address bank write.,stay say address bank write
10,73719,withdrawal,30644.13,2024-04-19 04:22:23,pending,Price according new than. She ask receive.,price according new ask receive
11,98037,withdrawal,86429.06,2024-03-31 08:00:06,pending,Wish bank control difference field.,wish bank control difference field
12,59666,transfer,23645.08,2025-01-30 19:08:59,failed,However protect then key throughout.,however protect key throughout
13,2775,deposit,91301.06,2024-05-19 18:34:42,pending,Live too loss process enough.,live loss process enough
14,15849,transfer,87968.52,2024-04-22 08:09:31,completed,Budget whole value green.,budget whole value green
15,38273,payment,40097.05,2024-09-18 05:20:07,pending,Traditional air behavior report plan.,traditional air behavior report plan
16,17928,refund,77952.17,2025-02-18 07:28:27,failed,Culture because safe indicate.,culture safe indicate
17,24920,withdrawal,54785.6,2024-07-10 10:44:11,completed,Fire politics sort among.,fire politics sort among
18,40713,payment,78286.27,2024-11-03 00:56:39,failed,Forward by animal treat prove think often.,forward animal treat prove think often
19,77053,refund,76761.53,2024-08-13 17:26:42,failed,Television last through.,television last
20,51920,withdrawal,22527.79,2024-10-12 08:36:29,completed,Administration claim expert pattern reality.,administration claim expert pattern reality
21,10274,refund,90566.82,2024-07-27 19:54:33,pending,Like parent apply system world.,like parent apply system world
22,16335,deposit,44178.45,2024-05-07 07:56:15,completed,Fall down together watch.,fall together watch
23,54955,payment,52288.53,2024-11-18 10:20:40,failed,Interest brother fight. High medical war.,interest brother fight high medical war
24,60926,transfer,52544.38,2024-12-31 08:56:21,pending,Case local dinner final officer.,case local dinner final officer
25,52338,payment,43261.04,2024-08-03 23:38:28,completed,Writer account likely service.,writer account likely service
26,39790,transfer,41479.39,2024-05-11 08:13:32,completed,Community network read.,community network read
27,35274,refund,17225.26,2024-12-27 12:19:05,pending,Forward develop scene appear address sit.,forward develop scene appear address sit
28,76372,withdrawal,933.75,2025-03-22 20:48:33,pending,Just peace little nature.,peace little nature
29,37011,deposit,71164.95,2025-02-10 04:45:06,failed,Mission hold around maybe. Seven age many.,mission hold around maybe seven age many
30,61153,deposit,55972.46,2024-06-11 12:08:22,pending,To artist study represent poor.,artist study represent poor
31,46954,deposit,38258.15,2024-07-15 13:10:08,failed,During enough lawyer when boy different sure.,enough lawyer boy different sure
32,90142,refund,24337.4,2024-10-22 19:12:20,completed,Remain per deep continue.,remain per deep continue
33,98063,deposit,2495.2,2025-03-23 20:24:59,failed,Wear meeting fly couple phone nation.,wear meeting fly couple phone nation
34,48788,transfer,57891.59,2024-08-10 10:32:59,failed,See about happy stage.,see happy stage
35,45281,refund,67990.73,2025-01-22 04:41:03,pending,Industry consumer herself old benefit.,industry consumer old benefit
36,96894,payment,4128.42,2025-01-29 03:03:44,pending,Yeah present old my population.,yeah present old population
37,19242,payment,89657.73,2025-03-27 03:52:33,failed,Kind city board five.,kind city board five
38,73306,refund,86980.55,2024-12-22 12:52:59,completed,Those physical benefit off.,physical benefit
39,39693,deposit,85738.37,2024-05-31 17:32:47,completed,Family result picture former.,family result picture former
40,94976,transfer,84395.63,2025-02-25 09:12:44,completed,Only record sport expect my else decision.,record sport expect else decision
41,1797,refund,78862.29,2024-11-15 04:49:31,completed,Continue step ready plan.,continue step ready plan
