transaction_id,user_id,type,amount,timestamp,status,description,processed_description
1,81082,payment,56628.74,2024-04-22 09:02:57,failed,Every mother hundred player.,every mother hundred player
2,2510,transfer,77302.6,2024-06-28 09:15:11,pending,Official choice four plant us main may.,official choice four plant u main may
3,17868,withdrawal,55542.53,2025-01-17 22:55:01,pending,Practice realize again rather play pattern.,practice realize rather play pattern
4,82265,withdrawal,63281.95,2024-05-05 07:03:06,pending,Though tonight black building.,though tonight black building
5,10373,payment,4367.38,2024-06-21 05:03:16,pending,You I forget move.,forget move
6,57594,deposit,52835.97,2025-02-14 16:15:28,completed,Place million hospital protect.,place million hospital protect
7,34553,deposit,57319.28,2025-02-14 14:51:07,failed,American star suffer sport increase course sell.,american star suffer sport increase course sell
8,54110,deposit,11291.78,2024-09-04 02:10:13,pending,Yard hotel example station bed reveal order.,yard hotel example station bed reveal order
9,74370,transfer,98959.79,2024-09-05 17:37:33,pending,Near college region far girl question police.,near college region far girl question police
10,35392,transfer,91113.23,2024-06-28 15:18:57,failed,Nation boy baby there alone medical.,nation boy baby alone medical
11,70248,withdrawal,97039.91,2024-11-03 16:14:27,completed,Nation scientist allow natural beat.,nation scientist allow natural beat
12,20071,deposit,40487.94,2024-10-10 22:39:11,completed,Within floor yourself white talk stage.,within floor white talk stage
13,62080,refund,33099.22,2024-11-09 17:36:35,pending,Necessary color media shake.,necessary color medium shake
14,15406,payment,20863.94,2024-12-12 09:57:14,failed,To data raise evening treatment blood edge.,data raise evening treatment blood edge
15,13881,transfer,31792.92,2024-11-25 14:13:26,pending,Never dinner top address view yeah.,never dinner top address view yeah
16,22969,deposit,20248.37,2025-02-08 18:42:16,completed,Woman order provide describe reduce rather.,woman order provide describe reduce rather
17,94556,withdrawal,75405.06,2024-08-18 20:02:48,failed,Painting special hour special wind report.,painting special hour special wind report
18,38017,refund,79691.37,2024-03-30 03:41:25,pending,Star run ask unit sure great.,star run ask unit sure great
19,41239,transfer,71508.03,2024-10-20 23:27:32,completed,Few continue particular environmental.,continue particular environmental
20,85797,refund,47514.96,2024-09-17 10:13:22,pending,New fear effort fund property matter hair.,new fear effort fund property matter hair
21,83327,withdrawal,68555.92,2024-12-19 23:48:30,completed,Beat any century short policy practice.,beat century short policy practice
22,19664,deposit,10455.87,2024-04-28 16:18:10,completed,Two woman very action wear eat.,two woman action wear eat
23,87936,withdrawal,85638.63,2025-01-20 04:37:41,pending,Scene present standard often realize happen blue.,scene present standard often realize happen blue
24,23952,deposit,51866.21,2024-05-05 09:29:15,failed,Wife usually his only history.,wife usually history
25,91573,deposit,44679.12,2025-02-05 10:27:25,failed,Part force production use new seven for.,part force production use new seven
26,84903,withdrawal,59289.34,2024-07-27 08:15:18,completed,Hospital first style page along activity middle.,hospital first style page along activity middle
27,12576,refund,72496.0,2024-08-31 00:18:57,failed,These budget ability to.,budget ability
28,62857,withdrawal,88897.33,2024-10-15 17:12:25,pending,Matter discover or up determine laugh later.,matter discover determine laugh later
29,23547,payment,24837.76,2024-06-17 16:46:10,completed,Particularly idea once see.,particularly idea see
30,17009,payment,19474.29,2025-03-06 21:38:26,completed,Hope drug why face best decade little see.,hope drug face best decade little see
31,13015,refund,20671.68,2024-09-07 08:07:54,pending,Money moment deal run.,money moment deal run
32,3387,transfer,65706.48,2025-01-01 07:36:10,failed,Significant economy whose phone case clear if.,significant economy whose phone case clear
33,71125,deposit,26135.53,2025-01-13 12:32:25,pending,Might record edge subject boy. Attention he walk.,might record edge subject boy attention walk
34,86956,withdrawal,58356.24,2025-03-03 00:20:08,pending,Rate conference run little.,rate conference run little
35,84251,transfer,39029.2,2024-11-23 21:43:39,pending,Me improve interesting eight.,improve interesting eight
36,69826,deposit,38782.22,2024-10-12 22:19:17,failed,A give thus more specific.,give thus specific
37,85712,deposit,31471.82,2024-04-16 22:28:28,failed,Star money later work wear tell.,star money later work wear tell
38,32565,withdrawal,52378.79,2025-01-13 04:18:08,failed,Section modern road upon. May trouble message.,section modern road upon may trouble message
39,36073,refund,70390.51,2024-10-26 17:34:00,pending,Season charge office.,season charge office
40,34717,refund,52422.94,2024-07-24 20:29:49,pending,Vote structure memory these from to.,vote structure memory
41,95853,deposit,44644.9,2025-03-11 13:10:38,pending,Wonder though will sign forget.,wonder though sign forget
42,87593,deposit,41885.18,2024-09-27 20:19:07,pending,Bit election memory resource parent.,bit election memory resource parent
43,41344,refund,93681.34,2024-08-28 14:12:20,pending,Follow his draw responsibility.,follow draw responsibility
44,13014,transfer,31981.75,2024-05-04 21:00:51,failed,Scene ten front activity year beyond.,scene ten front activity year beyond
45,38428,refund,75200.55,2024-06-22 10:39:09,completed,Energy difference certainly sit might each.,energy difference certainly sit might
46,30543,payment,7504.99,2025-01-15 17:31:53,completed,Drive far place west measure add various.,drive far place west measure add various
47,57445,withdrawal,98999.68,2025-02-09 22:00:36,failed,Worker raise economy those this unit.,worker raise economy unit
48,45949,deposit,8997.0,2024-07-11 21:39:19,failed,Station choice financial someone area standard.,station choice financial someone area standard
49,69791,withdrawal,79163.78,2025-03-08 06:19:19,failed,Effort source theory poor.,effort source theory poor
